"Morbidity, District","Morbidity, Morbidity index","Morbidity, Mortality index","Morbidity, Disability pension index","Morbidity, Medicine reimbursement index","Morbidity, Chronic diseases index","Morbidity, Population","Morbidity, Major district"
Vironniemi,67.58653896067823,69.78749325363393,47.104700383786536,85.86742324461419,76.31846070031946,12794,1 ETELÄINEN SUURPIIRI
Ullanlinna,65.6651008642943,73.06031746688957,43.09243567136955,80.84254945462376,67.99502270151739,24636,1 ETELÄINEN SUURPIIRI
Kampinmalmi,82.81814846334741,74.81795625759197,78.87098608091456,94.76550305153572,88.58683950603348,43738,1 ETELÄINEN SUURPIIRI
Taka-Töölö,87.90248225506848,95.68543113415787,78.01324510462003,90.00877052642753,85.98121898235095,15253,1 ETELÄINEN SUURPIIRI
Lauttasaari,70.97433670285223,72.15362921594017,51.92014702616184,88.8492338664547,76.15988830865057,24736,1 ETELÄINEN SUURPIIRI
Reijola,100.06051729117651,87.92264198521445,110.10205880607245,102.15685108224261,100.63076517016371,16767,2 LÄNTINEN SUURPIIRI
Munkkiniemi,85.07011945102005,78.96056986708328,82.7435046343297,93.50628385164717,90.37894221165104,18844,2 LÄNTINEN SUURPIIRI
Haaga,104.31297958638781,111.77318705348196,101.34443657134302,99.82131513433845,102.88070195431187,27612,2 LÄNTINEN SUURPIIRI
Pitäjänmäki,100.21651017707832,92.22212503396247,112.0764082337371,96.35099726353545,103.61289635422368,18322,2 LÄNTINEN SUURPIIRI
Kaarela,104.9382634544159,101.56646301707106,110.50562043777762,102.74270690839906,109.15096905531779,30500,2 LÄNTINEN SUURPIIRI
Kallio,106.52470069485405,108.9626571481265,110.65974020152467,99.95170473491098,105.48486464973361,33615,3 KESKINEN SUURPIIRI
Alppiharju,128.25573286061547,134.5119989070953,147.8684058659071,102.38679380884399,111.54913316681574,11653,3 KESKINEN SUURPIIRI
Vallila,104.46701472825578,110.99659732111222,98.92400796814279,103.48043889551231,110.76968062545609,16771,3 KESKINEN SUURPIIRI
Pasila,102.25040348001382,109.18119074301076,89.40320979352074,108.16680990350996,105.73729887979013,11239,3 KESKINEN SUURPIIRI
Vanhakaupunki,105.41734847013187,110.77420130496584,103.68924972534768,101.78859438008207,102.59440143831824,25362,3 KESKINEN SUURPIIRI
Maunula,106.37345089701695,105.04257856016031,112.91752595132019,101.16024817957039,104.987385019671,8999,4 POHJOINEN SUURPIIRI
Länsi-Pakila,79.63420275556514,83.36866616260771,62.989582593591045,92.5443595104967,80.32589746090353,7053,4 POHJOINEN SUURPIIRI
Tuomarinkylä,75.60788435952088,79.36236217608901,52.1716358603025,95.28965504217116,73.9680471626156,8687,4 POHJOINEN SUURPIIRI
Oulunkylä,103.1367316283819,94.43685681869508,114.89167482599262,100.081663240458,100.09773281092768,14581,4 POHJOINEN SUURPIIRI
Itä-Pakila,77.32306640873442,80.88355491950657,59.050386573243884,92.0352577334528,82.04070361853346,3653,4 POHJOINEN SUURPIIRI
Latokartano,101.59936822486479,93.97384686631726,109.07904691755053,101.74521089072658,106.52365271379418,24487,5 KOILLINEN SUURPIIRI
Pukinmäki,115.71357643163248,129.68578256816238,115.21526242228148,102.23968430445358,107.60725718574848,8722,5 KOILLINEN SUURPIIRI
Malmi,108.10176840246929,111.38290108695183,105.60263808048195,107.31976603997404,111.78540493540146,29202,5 KOILLINEN SUURPIIRI
Suutarila,96.8598967169569,96.92337516457616,87.4144028550624,106.24191213123213,112.70228336361876,11326,5 KOILLINEN SUURPIIRI
Puistola,98.91149774732628,111.05116917324926,86.82293490627742,98.86038916245212,103.38741391779014,20149,5 KOILLINEN SUURPIIRI
Jakomäki,130.86755334061925,126.02057890721403,150.69199948256392,115.89008163207981,121.39242444053144,5465,5 KOILLINEN SUURPIIRI
Kulosaari,60.75882329361297,59.72584470768585,43.44243379411391,79.10819137903914,66.24253096702495,4052,6 KAAKKOINEN SUURPIIRI
Herttoniemi,103.42808736028799,100.93596445504885,104.55471383565562,104.79358379015954,107.74104131501664,30523,6 KAAKKOINEN SUURPIIRI
Laajasalo,89.53172771085728,81.9613984598712,89.16763604357554,97.46614862912507,89.4417874293609,22153,6 KAAKKOINEN SUURPIIRI
Vartiokylä,103.22402693229758,108.50842866331622,103.56680070743647,97.59685142613998,97.53174284672154,21626,7 ITÄINEN SUURPIIRI
Myllypuro,114.05647034380912,99.24069993568754,138.37172164617462,104.5569894495652,109.7062903642805,12821,7 ITÄINEN SUURPIIRI
Mellunkylä,114.92167945822372,112.72406357479836,129.53758624441045,102.5033885554624,112.19252149212424,39749,7 ITÄINEN SUURPIIRI
Vuosaari,102.14247340360957,90.84838113899238,112.94551057377713,102.63352849805918,104.69859301998876,38657,7 ITÄINEN SUURPIIRI
